# Planck 2018 lensed scalar CMB, D_ell = l(l+1)C_l/2pi in muK^2.
# Lensing BB only -- scalars, r = 0, no primordial B modes.
# Planck 2018 VI Table 2, TT,TE,EE+lowE+lensing (marginalised means):
#   H0=67.36 ombh2=0.02237 omch2=0.12 tau=0.0544
#   As=2.1e-09 ns=0.9649 mnu=0.06 omk=0
# CAMB 1.6.5, lens_potential_accuracy=4.
# columns: ell  D_TT  D_EE  D_BB  D_TE
     200     5.60538E+03     6.89641E-01     1.41193E-02    -1.54076E+01
     201     5.61755E+03     6.89092E-01     1.42756E-02    -1.41395E+01
     202     5.62915E+03     6.89408E-01     1.44327E-02    -1.28500E+01
     203     5.64013E+03     6.90626E-01     1.45906E-02    -1.15394E+01
     204     5.65052E+03     6.92782E-01     1.47492E-02    -1.02082E+01
     205     5.66028E+03     6.95914E-01     1.49085E-02    -8.85668E+00
     206     5.66941E+03     7.00056E-01     1.50686E-02    -7.48539E+00
     207     5.67791E+03     7.05246E-01     1.52294E-02    -6.09465E+00
     208     5.68577E+03     7.11521E-01     1.53908E-02    -4.68507E+00
     209     5.69301E+03     7.18916E-01     1.55530E-02    -3.25719E+00
     210     5.69963E+03     7.27468E-01     1.57159E-02    -1.81158E+00
     211     5.70562E+03     7.37214E-01     1.58794E-02    -3.48773E-01
     212     5.71100E+03     7.48189E-01     1.60435E-02     1.13066E+00
     213     5.71578E+03     7.60431E-01     1.62083E-02     2.62616E+00
     214     5.71996E+03     7.73975E-01     1.63737E-02     4.13716E+00
     215     5.72354E+03     7.88853E-01     1.65397E-02     5.66309E+00
     216     5.72651E+03     8.05108E-01     1.67063E-02     7.20334E+00
     217     5.72886E+03     8.22770E-01     1.68735E-02     8.75729E+00
     218     5.73060E+03     8.41868E-01     1.70412E-02     1.03244E+01
     219     5.73172E+03     8.62447E-01     1.72095E-02     1.19041E+01
     220     5.73220E+03     8.84536E-01     1.73783E-02     1.34958E+01
     221     5.73207E+03     9.08164E-01     1.75476E-02     1.50987E+01
     222     5.73130E+03     9.33375E-01     1.77174E-02     1.67124E+01
     223     5.72990E+03     9.60192E-01     1.78877E-02     1.83360E+01
     224     5.72788E+03     9.88650E-01     1.80585E-02     1.99692E+01
     225     5.72524E+03     1.01877E+00     1.82297E-02     2.16110E+01
     226     5.72197E+03     1.05060E+00     1.84013E-02     2.32609E+01
     227     5.71808E+03     1.08417E+00     1.85733E-02     2.49182E+01
